,ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response
0,7862984,1964,Graduate,Divorced,80637.7,0,0,2014-01-27,53,45,199,245,59,71,153,1,7,8,8,1,0,0,0,1,0,0,0
1,12775330,1961,Graduate,Single,86890.0,1,0,2013-08-17,99,34,37,0,29,73,67,3,3,1,7,5,0,0,0,0,0,0,0
2,350602,1967,Graduate,Single,84795.3,1,1,2014-01-13,0,0,38,51,45,0,66,5,6,3,13,4,0,1,0,0,0,0,0
3,3027091,1963,Postgraduate,Married,68261.6,0,0,2014-06-29,65,7,26,114,39,20,65,1,11,2,6,6,0,0,0,0,0,0,0
4,15599338,1971,Graduate,Single,35109.6,0,1,2013-12-19,30,103,199,121,19,29,75,2,7,8,11,2,0,0,0,1,0,0,0
5,2717703,1974,Graduate,Divorced,94990.2,0,0,2013-11-03,23,997,199,394,84,15,68,1,3,1,7,0,0,0,0,0,0,0,1
6,14736011,1988,Postgraduate,Married,50028.4,0,0,2013-10-15,86,57,40,180,21,74,110,3,1,1,2,6,0,0,0,0,0,0,0
7,8151935,1955,Postgraduate,Together,67481.0,0,1,2013-10-29,19,0,1,0,38,0,2,1,2,1,3,7,0,0,0,0,0,0,1
8,14290695,1980,Graduate,Together,99286.1,0,0,2012-10-26,5,404,199,469,88,33,55,1,9,13,5,5,0,0,0,0,0,0,0
9,10681120,1988,Postgraduate,Together,38120.3,1,1,2014-05-08,41,0,6,0,11,0,10,1,2,1,3,7,0,0,0,0,0,0,0
10,4573775,1991,Undergraduate,Single,76332.3,0,1,2012-11-26,90,0,26,37,30,9,223,1,3,4,4,5,0,0,0,0,0,0,0
11,10996685,1957,Postgraduate,Single,19281.2,1,0,2013-03-11,62,0,9,8,12,2,20,1,2,1,13,4,0,0,0,0,0,1,0
12,5813226,1976,Graduate,Divorced,91288.2,0,0,2013-08-22,95,345,85,346,126,14,6,1,11,6,11,3,0,0,1,0,0,0,0
13,16186920,1978,Graduate,Together,100239.1,0,0,2012-08-14,78,192,84,23,190,1,12,4,3,2,10,2,0,0,0,0,0,0,1
14,373577,1973,Postgraduate,Married,29214.2,1,0,2014-02-16,99,0,0,0,7,0,26,2,1,1,3,8,0,0,0,0,0,0,0
15,1509694,1961,Graduate,Married,44809.9,1,1,2013-04-18,88,0,8,0,14,4,30,3,2,0,4,5,0,0,0,0,0,0,0
16,11089378,1961,Postgraduate,Single,102691.6,0,0,2012-09-22,77,955,2,556,10,23,47,1,5,8,12,4,0,0,0,1,0,0,0
17,8880310,1972,Graduate,Single,24630.5,2,0,2012-11-08,92,334,32,0,258,148,65,1,3,0,7,6,0,0,0,0,0,0,1
18,10296436,1956,Graduate,Single,64200.5,0,0,2012-07-30,20,407,75,44,127,71,159,1,5,4,4,3,0,0,0,0,0,0,0
19,14278737,1979,Postgraduate,Together,88204.3,0,0,2012-11-03,17,374,199,282,28,43,144,3,7,5,6,4,0,1,0,0,0,0,1
20,8545825,1961,Undergraduate,Single,66777.4,2,1,2014-06-25,76,0,68,34,0,0,4,0,5,1,4,7,0,0,0,0,1,0,0
21,757760,1962,Undergraduate,Married,48845.3,0,0,2014-03-15,19,940,44,743,103,37,43,1,7,5,11,5,0,0,0,0,0,0,0
22,6573099,1971,Postgraduate,Single,68486.4,0,0,2013-04-16,17,0,4,0,135,0,7,1,6,5,2,6,0,0,0,0,0,0,0
23,4736629,1960,Graduate,Married,104792.9,0,0,2013-04-06,99,1093,66,323,105,17,51,4,5,4,10,6,0,0,0,1,0,0,0
24,15327972,1988,Graduate,Together,76097.6,0,1,2012-11-22,99,1492,8,53,199,77,42,7,6,1,8,6,0,0,0,0,1,0,0
25,14430643,1968,Undergraduate,Single,94683.3,0,0,2013-05-01,84,330,93,110,48,0,54,1,14,2,2,5,0,0,0,0,0,0,1
26,1510173,1992,Graduate,Together,39037.9,0,0,2013-07-30,64,279,0,0,5,5,40,1,3,4,3,10,0,0,0,0,0,0,0
27,13496722,1955,Graduate,Together,75764.5,0,0,2013-04-30,37,0,199,108,2,25,316,4,11,5,5,6,0,0,1,1,0,0,0
28,7295748,1950,Graduate,Single,107971.2,1,0,2012-12-14,24,0,61,241,53,0,68,0,6,1,6,5,0,0,0,0,0,0,1
29,3454106,1967,Graduate,Divorced,103822.3,0,2,2013-08-30,78,677,14,438,14,0,142,1,13,1,12,5,0,0,0,0,0,0,0
30,11939890,1976,Graduate,Married,57573.3,1,0,2013-01-11,43,0,0,0,2,0,12,3,2,0,5,6,0,0,0,0,0,0,0
31,7813200,1974,Undergraduate,Married,60685.9,1,0,2013-06-15,86,0,0,11,10,0,22,4,2,1,8,5,0,0,0,0,0,0,0
32,3466068,1973,Graduate,Married,35544.2,0,1,2013-06-07,4,0,34,0,19,1,63,1,3,1,11,8,0,0,0,0,0,0,0
33,4157244,1957,Postgraduate,Divorced,69024.3,1,0,2013-06-18,30,59,4,0,9,0,223,1,3,1,3,4,1,0,0,0,0,0,0
34,14842778,1976,Postgraduate,Married,93063.5,0,0,2013-06-06,31,1421,26,380,39,11,97,1,5,2,7,4,0,1,0,1,0,0,0
35,13147733,1993,Undergraduate,Together,34392.2,1,0,2013-06-21,0,0,5,23,2,0,0,3,2,1,3,7,0,0,0,0,0,0,0
